"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"1151160";"01";"25852";"";"";"24054";"GRADUAÇÃO";"Campus Central";"Departamento de Engenharia da Produção";"2010";"1";"2010-02-22";"2010-07-09";"35T12";"";"1";"REGULAR";"f";"2010-07-13 10:01:09.92";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151161";"01";"5753006";"";"";"24061";"GRADUAÇÃO";"Campus Central";"Departamento de Engenharia da Produção";"2010";"1";"2010-02-22";"2010-07-09";"6T56  5N34";"";"1";"REGULAR";"f";"2010-06-29 18:23:48.559";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151162";"01";"5753423";"";"";"25843";"GRADUAÇÃO";"Campus Central";"Departamento de Engenharia da Produção";"2010";"1";"2010-02-22";"2010-07-09";"35N34";"";"1";"REGULAR";"f";"2010-07-12 19:47:26.969";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151163";"01";"5752810";"";"";"41598";"STRICTO SENSU";"";"UFRN";"2010";"1";"2010-02-01";"2010-07-31";"567T6";"1";"20";"REGULAR";"f";"2010-12-30 20:29:41.641";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151164";"01";"16790";"";"";"2055814";"LATO SENSU";"";"CTGÁS-ER";"2010";"1";"2010-05-26";"2010-05-29";"567M2345  4567T3456  4N34";"";"41";"REGULAR";"f";"2011-02-02 12:21:11.198";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151168";"01";"";"18682644";"";"2055655";"LATO SENSU";"";"CTG-AS-ER";"2010";"1";"2010-09-01";"2010-09-04";"567M2345  4567T3456  4N34";"";"41";"REGULAR";"f";"2014-07-16 12:33:37.016";"f";"";"30";"CONSOLIDADA";"";"Presencial";
"1151171";"01";"24852";"";"";"2055700";"LATO SENSU";"";"CTGAS-ER";"2010";"1";"2010-04-07";"2010-04-08";"5M2345  4T3456  4N34";"";"41";"REGULAR";"f";"2011-03-10 08:01:34.511";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151172";"01";"23943";"";"";"2055624";"LATO SENSU";"";"CTGAS-ES";"2010";"1";"2010-04-08";"2010-04-10";"67M2345  567T3456";"";"41";"REGULAR";"f";"2012-01-03 16:29:12.421";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151173";"01";"";"18299867";"";"2055623";"LATO SENSU";"";"CTGAS-ER";"2010";"1";"2010-12-01";"2010-12-04";"567M2345  4567T3456  4N34";"";"41";"REGULAR";"f";"2012-02-14 05:35:28.623";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151177";"01";"15370";"";"";"2055626";"LATO SENSU";"";"CTGAS-ER";"2010";"1";"2010-04-28";"2010-05-01";"567M2345  4567T3456  4N34";"";"41";"REGULAR";"f";"2014-10-06 11:29:26.769";"f";"";"22";"CONSOLIDADA";"";"Presencial";
"1151178";"07";"5753104";"";"";"23857";"GRADUAÇÃO";"Campus Central";"CCS";"2010";"1";"2010-02-22";"2010-07-09";"25M345 346M34";"";"6";"REGULAR";"f";"2010-07-16 22:23:25.913";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151178";"07";"5753031";"";"";"23857";"GRADUAÇÃO";"Campus Central";"CCS";"2010";"1";"2010-02-22";"2010-07-09";"25M345 346M34";"";"6";"REGULAR";"f";"2010-07-16 22:23:25.913";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151179";"08";"5753104";"";"";"23857";"GRADUAÇÃO";"Campus Central";"Departamento de Medicina Clínica";"2010";"1";"2010-02-22";"2010-07-09";"25M345 346M34";"";"6";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1151179";"08";"5753031";"";"";"23857";"GRADUAÇÃO";"Campus Central";"Departamento de Medicina Clínica";"2010";"1";"2010-02-22";"2010-07-09";"25M345 346M34";"";"6";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1151180";"01";"2288465";"";"";"37672";"STRICTO SENSU";"";"Sala do orientador";"2010";"1";"2010-03-01";"2010-07-09";"7T12";"0";"1";"REGULAR";"f";"2010-04-29 12:21:32.069";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151181";"11";"37484";"";"";"38280";"STRICTO SENSU";"";"sala do orientador";"2010";"1";"2010-03-09";"2010-07-30";"2M3";"1";"1";"REGULAR";"f";"2010-07-21 00:51:28.487";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151182";"02";"5751852";"";"";"2055459";"STRICTO SENSU";"";"Centro de pesquisa de Macaíba (IINN-ELS)";"2010";"1";"2010-03-01";"2010-07-09";"246M23";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
