"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57540863";"03";"5752376";"";"";"21996";"GRADUAÇÃO";"Campus Central";"A definir";"2009";"2";"2009-08-10";"2009-12-16";"24N34";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-14 10:55:43.404";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540864";"03";"5751867";"";"";"25505";"GRADUAÇÃO";"Campus Central";"A definir";"2009";"2";"2009-08-10";"2009-12-16";"46N34";"";"2";"ENSINO INDIVIDUAL";"f";"2010-01-05 11:03:04.443";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540865";"01";"25454";"";"";"21033";"GRADUAÇÃO";"Campus Central";"Sala do professor";"2009";"2";"2009-08-10";"2009-12-16";"6M12345";"";"2";"ENSINO INDIVIDUAL";"f";"2009-12-21 15:06:52.86";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540865";"01";"5752642";"";"";"21033";"GRADUAÇÃO";"Campus Central";"Sala do professor";"2009";"2";"2009-08-10";"2009-12-16";"6M12345";"";"2";"ENSINO INDIVIDUAL";"f";"2009-12-21 15:06:52.86";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540865";"01";"5752697";"";"";"21033";"GRADUAÇÃO";"Campus Central";"Sala do professor";"2009";"2";"2009-08-10";"2009-12-16";"6M12345";"";"2";"ENSINO INDIVIDUAL";"f";"2009-12-21 15:06:52.86";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540866";"01";"24815";"";"";"25273";"GRADUAÇÃO";"Campus Central";"Sala do professor";"2009";"2";"2009-08-10";"2009-12-16";"3T123";"";"2";"ENSINO INDIVIDUAL";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57540866";"01";"22879";"";"";"25273";"GRADUAÇÃO";"Campus Central";"Sala do professor";"2009";"2";"2009-08-10";"2009-12-16";"3T123";"";"2";"ENSINO INDIVIDUAL";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57540867";"01";"21581";"";"";"2020002";"GRADUAÇÃO";"Campus Caicó";"A05";"2009";"2";"2009-08-10";"2009-12-16";"5T1234 6T12";"";"10";"REGULAR";"f";"2009-12-18 09:22:16.777";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540868";"01";"25988";"";"";"20492";"GRADUAÇÃO";"Campus Caicó";"B08";"2009";"2";"2009-08-10";"2009-12-16";"2T1234";"";"7";"REGULAR";"f";"2009-12-21 19:47:33.951";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540900";"01";"23684";"";"";"38256";"STRICTO SENSU";"";"A DEFINIR";"2009";"2";"2009-08-21";"2009-12-31";"6T34";"";"20";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57540901";"01";"18683";"";"";"38257";"STRICTO SENSU";"";"A DEFINIR";"2009";"2";"2009-08-20";"2009-12-31";"5T23";"";"35";"REGULAR";"f";"2009-12-24 12:43:30.54";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540901";"01";"22829";"";"";"38257";"STRICTO SENSU";"";"A DEFINIR";"2009";"2";"2009-08-20";"2009-12-31";"5T23";"";"35";"REGULAR";"f";"2009-12-24 12:43:30.54";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540902";"01";"5752277";"";"";"23003";"GRADUAÇÃO";"Campus Central";"PROIN";"2009";"2";"2009-08-10";"2009-12-16";"35T56";"";"2";"ENSINO INDIVIDUAL";"f";"2009-12-21 17:29:17.749";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540903";"02";"17279";"";"";"22988";"GRADUAÇÃO";"Campus Central";"PROIN";"2009";"2";"2009-08-10";"2009-12-16";"35T34";"";"1";"ENSINO INDIVIDUAL";"f";"";"f";"";"";"INTERROMPIDA";"";"Presencial"
"57540904";"04";"5752276";"";"";"24204";"GRADUAÇÃO";"Campus Central";"Fac. de Farmácia";"2009";"2";"2009-08-10";"2009-12-16";"26T234";"";"4";"ENSINO INDIVIDUAL";"f";"2009-12-15 08:59:00.882";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540904";"04";"23131";"";"";"24204";"GRADUAÇÃO";"Campus Central";"Fac. de Farmácia";"2009";"2";"2009-08-10";"2009-12-16";"26T234";"";"4";"ENSINO INDIVIDUAL";"f";"2009-12-15 08:59:00.882";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540950";"01";"26027";"";"";"26090";"GRADUAÇÃO";"Campus Central";"DEART";"2009";"2";"2009-08-10";"2009-12-16";"7M123456";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-20 14:54:17.04";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540951";"01";"26169";"";"";"21286";"GRADUAÇÃO";"Campus Central";"DEART";"2009";"2";"2009-08-10";"2009-12-16";"3M1234";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-16 01:25:25.775";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540952";"01";"";"4779710";"";"26091";"GRADUAÇÃO";"Campus Central";"DEART";"2009";"2";"2009-08-10";"2009-12-16";"7N1234";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-11 09:07:02.059";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540953";"01";"5752690";"";"";"26093";"GRADUAÇÃO";"Campus Central";"DEART - Sala 14";"2009";"2";"2009-08-10";"2009-12-16";"7T1234";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-23 14:40:27.285";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540954";"01";"15472";"";"";"20340";"GRADUAÇÃO";"Campus Central";"DEART";"2009";"2";"2009-08-10";"2009-12-16";"7T1234";"";"4";"ENSINO INDIVIDUAL";"f";"2009-12-20 10:17:51.853";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540955";"02";"18240";"";"";"20339";"GRADUAÇÃO";"Campus Central";"DEART";"2009";"2";"2009-08-10";"2009-12-16";"7M1234";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-14 08:38:17.868";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540956";"01";"24797";"";"";"20335";"GRADUAÇÃO";"Campus Central";"DEART";"2009";"2";"2009-08-10";"2009-12-16";"7M123456";"";"3";"ENSINO INDIVIDUAL";"f";"2009-12-07 07:57:46.057";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540957";"01";"5751961";"";"";"25959";"GRADUAÇÃO";"Campus Central";"LAB. II";"2009";"2";"2009-08-10";"2009-12-16";"3M56";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-14 08:53:04.633";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540958";"01";"5751990";"";"";"24222";"GRADUAÇÃO";"Campus Central";"LAB II";"2009";"2";"2009-08-10";"2009-12-16";"46M456";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-16 15:21:28.006";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540959";"03";"24337";"";"";"24348";"GRADUAÇÃO";"Campus Central";"LAB II";"2009";"2";"2009-08-10";"2009-12-16";"6T123";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-16 21:51:33.253";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540960";"01";"20840";"";"";"25099";"GRADUAÇÃO";"Campus Central";"a definir";"2009";"2";"2009-08-10";"2009-12-16";"24T12";"";"1";"ENSINO INDIVIDUAL";"f";"2009-11-23 18:52:07.99";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540961";"01";"20840";"";"";"21285";"GRADUAÇÃO";"Campus Central";"a definir";"2009";"2";"2009-08-10";"2009-12-16";"35T12";"";"1";"ENSINO INDIVIDUAL";"f";"2009-11-26 20:41:59.286";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540962";"01";"17735";"";"";"21277";"GRADUAÇÃO";"Campus Central";"a definir";"2009";"2";"2009-08-10";"2009-12-16";"246T12";"";"2";"ENSINO INDIVIDUAL";"f";"2009-12-22 10:15:20.928";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540963";"01";"3031948";"";"";"20347";"GRADUAÇÃO";"Campus Central";"DEART";"2009";"2";"2009-08-10";"2009-12-16";"7T123456";"";"1";"ENSINO INDIVIDUAL";"f";"";"f";"";"";"INTERROMPIDA";"";"Presencial"
"57540964";"01";"17736";"";"";"25080";"GRADUAÇÃO";"Campus Central";"a definir";"2009";"2";"2009-08-10";"2009-12-16";"24T12";"";"2";"ENSINO INDIVIDUAL";"f";"2009-12-29 09:56:45.862";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540965";"01";"17736";"";"";"25198";"GRADUAÇÃO";"Campus Central";"a definir";"2009";"2";"2009-08-10";"2009-12-16";"35T12";"";"1";"ENSINO INDIVIDUAL";"f";"";"f";"";"";"INTERROMPIDA";"";"Presencial"
"57540966";"02";"5752586";"";"";"20518";"GRADUAÇÃO";"Campus Caicó";"B01";"2009";"2";"2009-08-10";"2009-12-16";"3M12  3T1234";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-20 03:44:09.431";"f";"";"";"CONSOLIDADA";"";"Presencial"
