"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"1207250";"01";"5755580";"";"";"53648";"LATO SENSU";"";"Setor II - Sala C4";"2014";"2";"2014-08-23";"2014-09-13";"7M2345  7T3456";"";"33";"REGULAR";"f";"2014-12-13 21:14:13.572";"f";"";"32";"CONSOLIDADA";"";"Presencial";
"1213722";"01";"23859";"";"";"54158";"LATO SENSU";"";"Setor II - Sala C4";"2014";"2";"2014-09-20";"2014-12-20";"7M12345  7T23456 (20/09/2014 - 20/12/2014)";"";"33";"REGULAR";"f";"2015-03-30 13:54:04.353";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"1217095";"01";"3029296";"";"";"52919";"LATO SENSU";"";"Depto. de Oceanografia e Limnologia";"2014";"2";"2014-07-14";"2014-07-18";"23456T123456 (14/07/2014 - 18/07/2014)";"";"26";"REGULAR";"f";"2014-07-30 08:40:26.116";"f";"";"30";"CONSOLIDADA";"";"Presencial";
"1217097";"01";"5753571";"";"";"53074";"LATO SENSU";"";"Depto. de Oceanografia e Limnologia";"2014";"2";"2014-08-12";"2014-11-14";"234567T2345";"";"26";"REGULAR";"f";"2015-03-25 09:14:40.959";"f";"";"52";"CONSOLIDADA";"";"Presencial";
"1217097";"01";"5753068";"";"";"53074";"LATO SENSU";"";"Depto. de Oceanografia e Limnologia";"2014";"2";"2014-08-12";"2014-11-14";"234567T2345";"";"26";"REGULAR";"f";"2015-03-25 09:14:40.959";"f";"";"52";"CONSOLIDADA";"";"Presencial";
"1217097";"01";"5752022";"";"";"53074";"LATO SENSU";"";"Depto. de Oceanografia e Limnologia";"2014";"2";"2014-08-12";"2014-11-14";"234567T2345";"";"26";"REGULAR";"f";"2015-03-25 09:14:40.959";"f";"";"52";"CONSOLIDADA";"";"Presencial";
"1217097";"01";"17628";"";"";"53074";"LATO SENSU";"";"Depto. de Oceanografia e Limnologia";"2014";"2";"2014-08-12";"2014-11-14";"234567T2345";"";"26";"REGULAR";"f";"2015-03-25 09:14:40.959";"f";"";"52";"CONSOLIDADA";"";"Presencial";
"1217098";"01";"5753347";"";"";"52924";"LATO SENSU";"";"Depto. de Oceanografia e Limnologia";"2014";"2";"2014-12-08";"2014-12-12";"23456T123456";"";"26";"REGULAR";"f";"2014-12-12 13:34:32.53";"f";"";"30";"CONSOLIDADA";"";"Presencial";
"1217098";"01";"";"107463637";"";"52924";"LATO SENSU";"";"Depto. de Oceanografia e Limnologia";"2014";"2";"2014-12-08";"2014-12-12";"23456T123456";"";"26";"REGULAR";"f";"2014-12-12 13:34:32.53";"f";"";"30";"CONSOLIDADA";"";"Presencial";
"1227962";"01";"5753024";"";"";"47988";"LATO SENSU";"";"DOD";"2014";"2";"2014-07-03";"2014-12-31";"7M1234";"";"12";"REGULAR";"f";"2015-06-30 15:04:38.486";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"1227967";"01";"5752470";"";"";"2054700";"LATO SENSU";"";"DOD";"2014";"2";"2014-09-04";"2015-02-27";"6M2345";"";"12";"REGULAR";"f";"2015-11-01 10:07:08.124";"f";"";"96";"CONSOLIDADA";"";"Presencial";
"1227983";"01";"5753758";"";"Residentes Multiprofissionais de Farmácia";"51955";"RESIDÊNCIA";"";"Sala de Farmácia Clínica - HUOL";"2014";"2";"2014-09-05";"2014-10-31";"67T123456";"";"15";"REGULAR";"f";"2015-03-14 16:16:58.956";"f";"";"36";"CONSOLIDADA";"";"Presencial";
