"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"1151169";"01";"22823";"";"";"2055625";"LATO SENSU";"";"CTGÁS-ER";"2010";"2";"2010-09-29";"2020-10-02";"567M2345  4567T3456  4N34";"";"41";"REGULAR";"f";"2011-08-01 10:41:37.106";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151174";"01";"";"18299868";"";"2055630";"LATO SENSU";"";"CTGAS-ER";"2010";"2";"2010-07-28";"2010-07-31";"567M2345  4567T3456  4N34";"";"41";"REGULAR";"f";"2012-02-14 05:37:19.487";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151786";"14";"20831";"";"";"2053815";"LATO SENSU";"";"MARCELINO VIEIRA";"2010";"2";"2010-08-01";"2010-09-01";"1234567M1234";"";"320";"REGULAR";"t";"";"f";"";"";"EXCLUÍDA";"";"A Distância";
"1151839";"01";"5752921";"";"";"18815";"TÉCNICO";"";"23";"2010";"2";"2010-08-09";"2010-12-22";"2T3456";"46";"50";"REGULAR";"f";"2010-12-17 14:51:46.585";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151840";"02";"5752885";"";"";"18815";"TÉCNICO";"";"25";"2010";"2";"2010-08-09";"2010-12-22";"2T1234";"2";"50";"REGULAR";"f";"2010-12-17 07:55:32.014";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151841";"03";"19002";"";"";"18815";"TÉCNICO";"";"24";"2010";"2";"2010-08-09";"2010-12-22";"2T3456";"40";"50";"REGULAR";"f";"2011-01-11 19:29:16.135";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151842";"01";"5752489";"";"";"18778";"TÉCNICO";"";"LAMUCO";"2010";"2";"2010-08-09";"2010-12-22";"2T12";"10";"15";"REGULAR";"f";"2010-12-20 11:21:50.419";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151843";"01";"24233";"";"";"18729";"TÉCNICO";"";"SALA 21";"2010";"2";"2010-08-09";"2010-12-22";"2T12";"8";"30";"REGULAR";"f";"2010-12-20 08:55:45.864";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151844";"01";"24233";"";"";"2047753";"TÉCNICO";"";"21";"2010";"2";"2010-08-09";"2010-09-24";"2N234";"";"10";"REGULAR";"f";"2010-12-20 11:51:04.035";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151845";"01";"23400";"";"";"18652";"TÉCNICO";"";"F";"2010";"2";"2010-08-09";"2010-12-22";"4T456";"3";"3";"REGULAR";"f";"2010-12-22 14:46:19.464";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151846";"02";"35466";"";"";"18652";"TÉCNICO";"";"6";"2010";"2";"2010-08-09";"2010-12-22";"4T56  4N1";"4";"3";"REGULAR";"f";"2010-12-11 18:30:03.669";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151847";"03";"35466";"";"";"18652";"TÉCNICO";"";"6";"2010";"2";"2010-08-09";"2010-12-22";"3T56  3N1";"1";"3";"REGULAR";"f";"2010-12-11 18:19:10.028";"f";"";"";"CONSOLIDADA";"";"Presencial";
