"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"1151175";"01";"18678";"";"";"2055650";"LATO SENSU";"";"CTGAS-ER";"2011";"1";"2011-01-26";"2011-01-29";"567M2345  4567T3456  4N34";"";"41";"REGULAR";"f";"2011-06-02 09:46:35.547";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151176";"01";"18422";"";"";"2055632";"LATO SENSU";"";"CTGAS-ER";"2011";"1";"2011-05-28";"2011-05-28";"7M12345  7T123456";"";"41";"REGULAR";"f";"2011-07-20 11:09:14.702";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151819";"01";"";"19016075";"";"41389";"LATO SENSU";"";"AUD DO LABORATÓRIO DE PSICOLOGIA";"2011";"1";"2011-05-24";"2011-05-26";"167M2345  67T3456";"";"50";"REGULAR";"f";"2012-06-13 14:42:59.359";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151819";"01";"";"19016074";"";"41389";"LATO SENSU";"";"AUD DO LABORATÓRIO DE PSICOLOGIA";"2011";"1";"2011-05-24";"2011-05-26";"167M2345  67T3456";"";"50";"REGULAR";"f";"2012-06-13 14:42:59.359";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151820";"01";"";"19016075";"";"41390";"LATO SENSU";"";"AUD DO LABORATORIO DE PSICOLOGIA";"2011";"1";"2011-06-24";"2011-06-26";"167M2345  67T3456";"";"50";"REGULAR";"f";"2012-06-13 14:54:55.808";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1151820";"01";"";"19016074";"";"41390";"LATO SENSU";"";"AUD DO LABORATORIO DE PSICOLOGIA";"2011";"1";"2011-06-24";"2011-06-26";"167M2345  67T3456";"";"50";"REGULAR";"f";"2012-06-13 14:54:55.808";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1154943";"01";"";"50915318";"";"2053826";"LATO SENSU";"";"";"2011";"1";"2011-01-10";"2011-01-31";"";"";"320";"REGULAR";"t";"2011-05-10 17:19:20.856";"f";"";"";"CONSOLIDADA";"";"A Distância";
"1159794";"02";"";"50915318";"";"2053826";"LATO SENSU";"";"";"2011";"1";"2011-01-10";"2011-01-31";"";"";"";"REGULAR";"t";"2011-05-10 17:20:09.027";"f";"";"";"CONSOLIDADA";"";"A Distância";
"1159795";"03";"";"50915318";"";"2053826";"LATO SENSU";"";"";"2011";"1";"2011-01-10";"2011-01-31";"";"";"";"REGULAR";"t";"2011-05-10 17:20:59.221";"f";"";"";"CONSOLIDADA";"";"A Distância";
"1159796";"04";"";"50915318";"";"2053826";"LATO SENSU";"";"";"2011";"1";"2011-01-10";"2011-01-31";"";"";"";"REGULAR";"t";"2011-05-10 17:22:19.259";"f";"";"";"CONSOLIDADA";"";"A Distância";
