"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"1151199";"01";"22935";"";"";"2035162";"LATO SENSU";"";"5A1";"2009";"1";"2009-06-15";"2009-06-19";"23456N1234";"";"50";"REGULAR";"f";"2010-06-16 09:51:49.361";"f";"";"";"CONSOLIDADA";"";"Presencial"
"1160109";"01";"26322";"";"";"2035165";"LATO SENSU";"";"setor 5 A1";"2009";"1";"2009-02-09";"2009-02-16";"56M12345 7M2345  7T23456";"";"50";"REGULAR";"f";"2010-10-21 11:21:19.181";"f";"";"";"CONSOLIDADA";"";"Presencial"
"1167001";"01";"17417";"";"";"26695";"GRADUAÇÃO";"Campus Central";"goianinha";"2009";"1";"2009-03-05";"2009-07-05";"7T123456";"";"50";"REGULAR";"f";"2011-12-19 21:19:23.263";"f";"";"";"CONSOLIDADA";"";"Presencial"
"1167002";"01";"19175";"";"";"26693";"GRADUAÇÃO";"Campus Central";"goianinha";"2009";"1";"2009-03-05";"2009-07-05";"6T56  6N1234";"";"50";"REGULAR";"f";"2012-03-15 18:22:55.183";"f";"";"";"CONSOLIDADA";"";"Presencial"
"1167002";"01";"34348";"";"";"26693";"GRADUAÇÃO";"Campus Central";"goianinha";"2009";"1";"2009-03-05";"2009-07-05";"6T56  6N1234";"";"50";"REGULAR";"f";"2012-03-15 18:22:55.183";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57226951";"01";"";"905116";"";"2015166";"LATO SENSU";"";"NESC";"2009";"1";"2009-02-12";"2009-02-14";"567M2345  56T3456";"";"37";"REGULAR";"f";"";"f";"";"";"ABERTA";"";"Presencial"
"57226951";"01";"";"2499820";"";"2015166";"LATO SENSU";"";"NESC";"2009";"1";"2009-02-12";"2009-02-14";"567M2345  56T3456";"";"37";"REGULAR";"f";"";"f";"";"";"ABERTA";"";"Presencial"
"57226952";"01";"";"1187655";"";"2015167";"LATO SENSU";"";"NESC";"2009";"1";"2009-03-05";"2009-03-07";"567M2345  56T3456";"";"37";"REGULAR";"f";"";"f";"";"";"ABERTA";"";"Presencial"
"57227013";"1";"";"2450191";"";"2015165";"LATO SENSU";"";"NESC";"2009";"1";"2009-01-29";"2009-01-31";"567M2345  56T3456";"";"37";"REGULAR";"f";"";"f";"";"";"ABERTA";"";"Presencial"
"57483959";"03";"22172";"";"";"2019005";"LATO SENSU";"";"NOVA CRUZ";"2009";"1";"2009-01-05";"2009-01-07";"7M2345  7T2345";"";"50";"REGULAR";"f";"2009-05-18 19:39:25.888";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57486803";"01";"22761";"";"";"2015169";"LATO SENSU";"";"NATAL";"2009";"1";"2009-04-02";"2009-04-04";"567M2345  56T3456";"";"37";"REGULAR";"f";"2015-07-02 22:27:12.477";"f";"";"20";"CONSOLIDADA";"";"Presencial"
"57486803";"01";"18758";"";"";"2015169";"LATO SENSU";"";"NATAL";"2009";"1";"2009-04-02";"2009-04-04";"567M2345  56T3456";"";"37";"REGULAR";"f";"2015-07-02 22:27:12.477";"f";"";"20";"CONSOLIDADA";"";"Presencial"
"57487100";"01";"";"2049080";"";"2015168";"LATO SENSU";"";"NATAL";"2009";"1";"2009-03-19";"2009-03-21";"567M2345  56T3456";"";"37";"REGULAR";"f";"";"f";"";"";"ABERTA";"";"Presencial"
"57495309";"01";"26605";"";"";"2037208";"LATO SENSU";"";"LAB";"2009";"1";"2009-01-08";"2009-01-10";"67M2345  67T3456  6N1234";"";"30";"REGULAR";"f";"";"f";"";"";"ABERTA";"";"Presencial"
"57495310";"01";"18643";"";"";"2037209";"LATO SENSU";"";"LAB";"2009";"1";"2009-02-05";"2009-02-07";"67M2345  67T3456  5N1234";"";"30";"REGULAR";"f";"";"f";"";"";"ABERTA";"";"Presencial"
"57495311";"01";"18643";"";"";"2037210";"LATO SENSU";"";"LAB";"2009";"1";"2009-03-12";"2009-03-14";"67M2345  67T3456  5N1234";"";"30";"REGULAR";"f";"";"f";"";"";"ABERTA";"";"Presencial"
"57495312";"01";"";"7183731";"";"2037211";"LATO SENSU";"";"LAB";"2009";"1";"2009-04-14";"2009-04-16";"67M2345  67T3456  5N1234";"";"30";"REGULAR";"f";"";"f";"";"";"ABERTA";"";"Presencial"
"57495313";"01";"23731";"";"";"2037212";"LATO SENSU";"";"LAB";"2009";"1";"2009-05-14";"2009-05-16";"67M2345  67T3456  5N1234";"";"30";"REGULAR";"f";"";"f";"";"";"ABERTA";"";"Presencial"
"57495314";"01";"";"7183733";"";"2037213";"LATO SENSU";"";"LAB";"2009";"1";"2009-06-04";"2009-06-06";"67M2345  67T3456  5N1234";"";"30";"REGULAR";"f";"";"f";"";"";"ABERTA";"";"Presencial"
"57498756";"01";"19584";"";"";"40260";"STRICTO SENSU";"";"Sala de Treinamento do NEPGN";"2009";"1";"2009-01-19";"2009-01-30";"2345T1";"0";"20";"REGULAR";"f";"2009-09-05 16:38:15.054";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57500508";"01";"21450";"";"";"2036064";"LATO SENSU";"";"SETOR I SALA F1";"2009";"1";"2009-02-03";"2009-03-03";"35N1234";"";"60";"REGULAR";"f";"2009-08-08 11:59:55.62";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57500509";"01";"21929";"";"";"2036065";"LATO SENSU";"";"SETOR I SALA F1";"2009";"1";"2009-03-05";"2009-03-17";"35N1234";"";"60";"REGULAR";"f";"2009-07-20 19:17:11.408";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57501153";"01";"25470";"";"";"2037653";"STRICTO SENSU";"";"Sala Dietrich";"2009";"1";"2009-01-05";"2009-01-25";"345T1";"1";"10";"REGULAR";"f";"2009-02-17 11:17:35.144";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57502953";"01";"5752209";"";"";"38599";"STRICTO SENSU";"";"Disciplina de Radiologia";"2009";"1";"2009-03-16";"2009-06-30";"3T34";"";"8";"REGULAR";"f";"2009-09-03 10:07:31.283";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57502953";"01";"17214";"";"";"38599";"STRICTO SENSU";"";"Disciplina de Radiologia";"2009";"1";"2009-03-16";"2009-06-30";"3T34";"";"8";"REGULAR";"f";"2009-09-03 10:07:31.283";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57502953";"01";"15842";"";"";"38599";"STRICTO SENSU";"";"Disciplina de Radiologia";"2009";"1";"2009-03-16";"2009-06-30";"3T34";"";"8";"REGULAR";"f";"2009-09-03 10:07:31.283";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57502953";"01";"21585";"";"";"38599";"STRICTO SENSU";"";"Disciplina de Radiologia";"2009";"1";"2009-03-16";"2009-06-30";"3T34";"";"8";"REGULAR";"f";"2009-09-03 10:07:31.283";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57502953";"01";"21584";"";"";"38599";"STRICTO SENSU";"";"Disciplina de Radiologia";"2009";"1";"2009-03-16";"2009-06-30";"3T34";"";"8";"REGULAR";"f";"2009-09-03 10:07:31.283";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57502953";"01";"18247";"";"";"38599";"STRICTO SENSU";"";"Disciplina de Radiologia";"2009";"1";"2009-03-16";"2009-06-30";"3T34";"";"8";"REGULAR";"f";"2009-09-03 10:07:31.283";"f";"";"";"CONSOLIDADA";"";"Presencial"
