"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"1204205";"02";"26543";"";"";"41147";"STRICTO SENSU";"";"sala da base";"2013";"2";"2013-03-04";"2013-06-22";"5M34";"";"2";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1204206";"03";"22923";"";"";"41147";"STRICTO SENSU";"";"sala da base";"2013";"2";"2013-03-04";"2013-06-22";"2M12";"";"1";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1204207";"04";"24597";"";"";"41147";"STRICTO SENSU";"";"sala da base";"2013";"2";"2013-03-04";"2013-06-22";"2M12";"";"3";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1204208";"05";"22006";"";"";"41147";"STRICTO SENSU";"";"sala da base";"2013";"2";"2013-03-04";"2013-06-22";"2M12";"";"1";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1204209";"06";"18150";"";"";"41147";"STRICTO SENSU";"";"sala da base";"2013";"2";"2013-03-04";"2013-06-22";"2M12";"";"4";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1205338";"01";"22939";"";"";"51235";"LATO SENSU";"";"Auditório do LAUT";"2013";"2";"2013-08-16";"2013-10-05";"7M2345  7T3456  6N1234";"";"30";"REGULAR";"f";"2014-06-30 11:13:34.373";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"1205339";"01";"25444";"";"";"51231";"LATO SENSU";"";"Auditório do LAUT";"2013";"2";"2013-10-18";"2013-12-05";"7M2345  7T3456  6N1234";"";"30";"REGULAR";"f";"2014-09-26 11:34:29.798";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"1205339";"01";"";"97103560";"";"51231";"LATO SENSU";"";"Auditório do LAUT";"2013";"2";"2013-10-18";"2013-12-05";"7M2345  7T3456  6N1234";"";"30";"REGULAR";"f";"2014-09-26 11:34:29.798";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"1205340";"01";"5752548";"";"";"51236";"LATO SENSU";"";"Auditório do LAUT";"2013";"2";"2013-12-06";"2013-12-28";"7M2345  7T3456  6N1234";"";"30";"REGULAR";"f";"2014-09-26 15:29:51.187";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"1205442";"01";"5754314";"";"";"51754";"LATO SENSU";"";"LABORATÓRIO DE INFORMÁTICA - BCZM";"2013";"2";"2013-07-09";"2013-07-23";"35M12345";"";"20";"REGULAR";"f";"2014-07-17 17:07:35.727";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"1206108";"01";"5753581";"";"";"51763";"LATO SENSU";"";"";"2013";"2";"2013-08-01";"2013-10-31";"";"";"";"REGULAR";"t";"2014-08-27 21:10:30.845";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"1206109";"02";"25237";"";"";"51763";"LATO SENSU";"";"";"2013";"2";"2013-08-01";"2013-10-31";"";"";"";"REGULAR";"t";"2014-09-05 05:19:16.809";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"1206110";"03";"";"93349324";"";"51763";"LATO SENSU";"";"";"2013";"2";"2013-08-01";"2013-10-31";"";"";"";"REGULAR";"t";"2014-09-05 05:25:01.636";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"1206112";"04";"";"93293319";"";"51763";"LATO SENSU";"";"";"2013";"2";"2013-08-01";"2013-10-31";"";"";"";"REGULAR";"t";"2014-09-05 05:29:20.046";"f";"";"0";"CONSOLIDADA";"";"A Distância";
